Seq,Occupation,Definition,Industry,Future Skill? ,Career Pathway,Competencies,Core Skills,Certifications (Govt offers),Certifications (External),Technologies,Soft Skills,Source,ANZSCO,ESCO Code,One Net Code
54,Training and Development Professionals,Training and development specialists assess training needs and design and create training materials for employees.,General Category,TBC,"Training and Development Specialist, Training and Development Manager, Human Resources Manager","Identifying training needs and requirements of individuals and organisations,Setting human resource development objectives and evaluating learning outcomes,Preparing and developing instructional training material and aids such as handbooks, visual aids, online tutorials, demonstration models, and supporting training reference documentation,Designing, coordinating, scheduling and conducting training and development programs that can be delivered in the form of individual and group instruction, and facilitating workshops, meetings, demonstrations and conferences,Liaising with external training providers to arrange delivery of specific training and development programs,Promoting internal and external training and development, and evaluating these promotional activities,Monitoring and performing ongoing evaluation and assessment of training quality and effectiveness, and reviewing and modifying training objectives, methods and course deliverables,Gathering, investigating and researching background materials to gain an understanding of various subject matters and systems,Advising management on the development and placement of staff, and providing career counselling for employees","Project management, Data structure and analysis, Artificial intelligence, Cloud computing, Software engineering","Graduate diploma,Graduate certificate,Diploma,Certificate IV,Non-AQF level","Certified Professional in Training Management (CPTM™), ATD Certification - APTD, ATD Certification - CPTD, Learning and Development Professional Certificate, Certified Professional in Talent Development","Learning Management Systems, e-learning authoring tools, video conferencing software, instructional design software, performance management tools, survey and assessment platforms, data analytics software","Communication, Active Listening, Teamwork, Problem-Solving, Initiative",JSA,132511,1223.2.1,11-3131.00
55,"Actuaries, Mathematicians and Statisticians","Actuaries, Mathematicians, and Statisticians develop and apply actuarial, mathematical, statistical, and quantitative principles and techniques to solve problems in fields like business, finance, and scientific research.",General Category,TBC,"Actuary pathway: Entry-level Actuary, Associate Actuary, Senior Actuary, Consulting Actuary, Managerial Position

Mathematician/Statistician pathway: Entry-level Analyst, Statistician/Mathematician, Senior Statistician/Mathematician, Managerial/Director Position, Consultant","Defining, analysing and solving complex financial and business problems relating to areas such as insurance premiums, annuities, superannuation funds, pensions and dividends,Examining financial projections for general insurance companies, finance companies, government and other organisations,Designing new types of policies, assessing risks and analysing investments in life insurance, superannuation funds, health insurance, friendly societies, financial markets and other areas,Formulating mathematical models to simulate processes,Applying models to experimental observations, and adjusting and recasting the models,Using numerical analysis methods to develop algorithms and perform computations,Liaising with management and clients to determine the subject or area to be surveyed or examined,Specifying the data to be collected, and the methodology to be used in collection and analysis,Evaluating and describing the reliability and utility of source information,Analysing and interpreting data, and producing relevant statistics to describe and infer particular trends and patterns","Math and Numeracy Skills, Computer Skills, Statistical Frameworks, Analytical Problem-Solving Skills, Valuing Uncertain Future Cash Flow",Not Found,"ASA, FSA, CQF, PStat","VBA, Python, SAS, R, SQL, Excel, Actuarial Modeling Software","Communication, problem-solving, analytical ability, adaptability, collaboration",JSA,224112,2120.5,15-2021.00
56,"Archivists, Curators and Records Managers","Develop, maintain, implement, and deliver systems for keeping, updating, accessing, and preserving records, files, information, historical documents, and artifacts.",General Category,TBC,"Records Assistant, Archivist/Curator/Records Manager, Senior Archivist/Curator/Records Manager, Collections Manager/Director/Chief Archivist","Evaluating and preserving records for administrative, historical, legal, evidential and other purposes,Preparing record-keeping systems, indexes, guides and procedures for archival research and for the retention and destruction of records,Identifying and classifying specimens and objects, and arranging restoration work,Examining items and arranging examinations to determine condition and authenticity,Designing and revising medical record forms,Managing organisations' central records systems,Analysing the record-keeping needs of organisations, and translating these needs into record management systems,Maintaining computerised and other record management systems and record forms, and advising on their usage,Controlling access to confidential information, and recommending codes of practice and procedures for accessing records,Developing record cataloguing, coding and classification systems, and monitoring their use","Digital archiving and preservation techniques, Metadata creation, Records management software, Cataloging, Digital Asset Management Systems","Advanced diploma,Diploma","Certified Records Analyst (CRA), Certified Records Manager (CRM), Archival Management Certificate, Graduate Diploma in Records Management and Archives, Master of Information Management (Archives and Records Management), Digital Curation Fundamentals Certificate, Preservation Certificate","Database management software, digital preservation systems, archival management software, electronic records management systems, digitization equipment, content management systems, metadata standards","Communication skills, Problem-solving, Organization, Attention to detail, Ethical decision-making",JSA,Not Found,2621.1,25-4011.00
57,Economists,"Economists conduct research, prepare reports, evaluate issues related to monetary and fiscal policy, and may collect and analyze statistical data.",General Category,TBC,"Economist, Senior Economist, Senior Vice President, Executive Director, Adjunct Professor","Analysing interrelationships between economic variables and studying the effects of government fiscal and monetary policies, expenditure, taxation and other budgetary policies on the economy and the community,Researching, analysing and assessing the effects of labour market programs and industry policies and programs on economic growth, welfare, education and training,Investigating international and national economic situations, and particular features such as industries, regions and socioeconomic groups,Studying workplace issues such as enterprise bargaining and wage fixation, and the effect of workplace policies on productivity and economic growth,Analysing trends and advising on economic issues such as taxation levels, prices, employment and unemployment, imports and exports, and interest and exchange rates,Forecasting changes in the economic environment for short-term budgeting, long-term planning and investment evaluation,Formulating recommendations, policies and plans for the economy, corporate strategies and investment, and undertaking feasibility studies for projects,Preparing reports on research findings","Strong analytical abilities, statistical and mathematical skills, strong research skills, technical proficiency in economic analysis software and tools, ability to work with large datasets",Not Found,"ChE Chartered Economist, CEPA Certified Economic Policy Analyst, AFA Accredited Financial Analyst, CIE Chartered Industrial Economist, Ch.PE Chartered Petroleum Economist, Ch.FE Chartered Financial Economist, CEPA Chartered Economic Policy Analyst","SAS, R, Python, MATLAB, SQL, Stata, Excel","Communication skills, Analytical skills, Critical-thinking skills, Collaboration, Problem-solving skills",JSA,224511,2631.2,19-3011.00
58,Intelligence and Policy Analysts,Intelligence and Policy Analysts collect and analyze information to produce intelligence and to develop and analyze policies guiding government and commercial operations and programs.,Public Administration and Safety,TBC,"Entry-Level Intelligence Analyst, Mid-Level Intelligence Analyst, Senior Intelligence Analyst, Manager/Team Lead, Director/Strategic Vision Role","Determining organisational and client intelligence requirements,Organising, collecting, collating and analysing data, and developing intelligence information such as electronic surveillance,Compiling and disseminating intelligence information using briefings, maps, charts, reports and other methods,Ascertaining the accuracy of data collected and reliability of sources,Conducting threat and risk assessments and developing responses,Liaising and consulting with program administrators and other interested parties to identify policy needs,Reviewing existing policies and legislation to identify anomalies and out-of-date provisions,Researching social, economic and industrial trends, and client expectations of programs and services provided,Formulating and analysing policy options, preparing briefing papers and recommendations for policy changes, and advising on preferred options,Assessing impacts, financial implications, interactions with other programs and political and administrative feasibility of policies","Data visualization, Advanced research techniques, Quantitative research and statistical analysis, Economic analysis and econometrics, Advanced proficiency with statistical software",Not Found,"Certified Government Financial Manager (CGFM), Certified Public Manager (CPM)","Data visualization tools, databases, OSINT tools, mapping software, advanced research techniques, foreign weapons systems assessment technologies, communication platforms","Critical thinking, Attention to detail, Collaboration, Communication, Flexibility",JSA,132411,2422.8,33-3021.06
59,Land Economists and Valuers,"Land Economists and Valuers provide advice on the administration and use of land and property, and assess the value of land, property and other items such as commercial equipment and objects of art.","Rental, Hiring and Real Estate Services",TBC,"Surveying Technician, Land and Property Valuer/Auctioneer, Senior Valuer/Project Manager/Director, Land Buyer/Property Sales Advisor/Self-Employed Consultant","Providing advice on land and property financing and valuation matters,Researching and advising on the administration and use of land and property,Developing and implementing sales and leasing proposals for commercial land and property,Providing asset management services for the administration and use of land and property,Analysing land and property investments,Managing land and property portfolios and commercial property developments,Calculating values by considering market demand, condition of items, future trends and other factors,Examining property, selecting methods of valuation, and submitting written assessments,Giving evidence in legal proceedings, mediating on valuation matters and providing rental determinations for arbitration purposes","Valuation, Financial Modeling, Discounted Cash Flow (DCF), Econometrics, Real Estate Appraisal",Not Found,"Certified Practising Valuer (CPV), Royal Institution of Chartered Surveyors (RICS) membership, Australian Property Institute (API) Membership, Certified Property Professional (CPP), Certified Land Economist (CLE), Valuer General's Certificate of Registration, Appraisal Institute (MAI) Designation","Appraisal Pro, ACI Analytics, Goliath Data, Total Appraisal Software, Geographic Information Systems (GIS), property management software, financial modeling software","Communication skills, Analytical and critical thinking abilities, Problem-solving skills, Teamwork, Leadership",JSA,224511,2631.2,19-3011.00
60,Librarians,Librarians and library media specialists help people find information and conduct research for personal and professional use.,General Category,TBC,"Library Aide, Library Assistant/Technician, Librarian (Public/Academic/School), Library Manager/Director","Developing and implementing library and information policies and services,Examining publications and materials, interviewing publishers' representatives, and consulting with others to select library materials,Reviewing, evaluating and modifying services in response to user needs,Providing assistance to clients in accessing library resources,Managing library systems for recording and organising library holdings, acquisitions and purchases, reader registrations and loan transactions, and supervising indexing, filing and retrieval activities,Managing inter-library loan systems and information networks,Undertaking information research activities on behalf of clients,Selecting, ordering, classifying and cataloguing library and information resources,Monitoring collection development and culling programs,Supervising and training other library staff,May plan and direct library promotion and outreach activities","Digital Literacy, Technological Proficiency, Information Management, Data Analysis, Knowledge of computers and the internet",Not Found,"Teacher's Certification (for school librarians), ALIA accredited undergraduate or post graduate university qualification, ALIA accredited Diploma in Library and Information Studies, Master of Information Science, Graduate Diploma in Archives and Records Management, Master's degree in library science (MLS), American Library Association (ALA) accredited program","Library management software, Database management (SQL, Oracle), Web design (HTML/CSS), Mobile technologies, Machine learning applications for libraries, RFID, Virtual reality","Strong Communication Skills, Passion for Helping Others, Adaptability, Flexibility, Curiosity",JSA,Not Found,2622.2,25-4022.00
61,Management and Organisation Analysts,"Management and Organisation Analysts assist organizations to achieve greater efficiency and solve organizational problems, and study organizational structures, methods, systems and procedures.","Professional, Scientific and Technical Services",TBC,"Analyst, Management Analyst, Senior Analyst, Management Position/Partner","Assisting and encouraging the development of objectives, strategies and plans aimed at achieving customer satisfaction and the efficient use of organisations' resources,Discussing business and organisational shortcomings with clients,Analysing and evaluating current systems and structures,Discussing current systems with staff and observing systems at all levels of organisation,Directing clients towards more efficient organisation and developing solutions to organisational problems,Undertaking and reviewing work studies by analysing existing and proposed methods and procedures such as administrative and clerical procedures,Recording and analysing organisations' work flow charts, records, reports, manuals and job descriptions,Preparing and recommending proposals to revise methods and procedures, alter work flows, redefine job functions and resolve organisational problems,Assisting in implementing approved recommendations, issuing revised instructions and procedure manuals, and drafting other documentation,Reviewing operating procedures and advising of departures from procedures and standards","SQL, Microsoft Excel, R, Python, Data visualization","Graduate diploma,Graduate certificate,Advanced diploma,Diploma","IT Information Library Foundations Certification (ITIL), Six Sigma Green Belt, Project Management Professional (PMP), Chartered Financial Analyst (CFA), Certified Business Analysis Professional (CBAP), Certified Management Accountant (CMA)","Data Analytics, Data Visualization, Asana, Trello, Salesforce, Slack, Microsoft Teams","Communication skills, listening skills, teamwork, problem-solving skills, strategic thinking",JSA,224999,Not Found,Not Found
62,Other Information and Organisation Professionals,"This occupation includes professionals such as Electorate Officers, Liaison Officers, Migration Agents, and Patents Examiners, who support organizations, government, individuals, and the community by managing information, data, and providing advice.",General Category,TBC,"Professional Assistant/Coordinator, Junior Professional/Officer, Professional/Specialist, Senior Professional/Officer, Manager/Director","Manages the electorate office of a politician, and liaises with constituents and the media on their behalf,Establishes and facilitates communication between different community groups, organisations and governments,Provides information and advice to potential migrants, prepares and lodges visa applications, and acts as an intermediary to legally represent clients during visa processing and before review bodies liaises with legal professionals in relation to judicial review matters. registration or licensing may be required,Investigates and reports on patent applications to assess their compliance with the requirements of the patents act","Data retrieval and analysis, Organization of data, Designing interfaces, Coding, Curating information","Graduate certificate,Diploma,Certificate III,Certificate II","CRM, CIP, AIGP, CIPM, CIPT, CIPP/E, CISA","Data management (structured/semi-structured data), Coding/scripting, Cloud computing, Cybersecurity, Artificial Intelligence (AI) and machine learning, User interface (UI) design, Database management","Communication Skills, Problem Solving, Professionalism, Teamwork, Critical Thinking",JSA,224999,Not Found,Not Found
63,Advertising and Marketing Professionals,"Develop and execute strategies to promote products, services, and brand awareness.","Professional, Scientific and Technical Services",TBC,"Assistant Account Executive/Account Manager/Junior Copywriter/Art Director, Account Executive/Account Planner/Specialist/Copywriter/Art Director, Manager/Strategist, Director/Creative Director","Planning, developing and organising advertising policies and campaigns to support sales objectives,Advising executives and clients on advertising strategies and campaigns to reach target markets, creating consumer awareness and effectively promoting the attributes of goods and services,Coordinating production of advertising campaigns involving specialised activities, such as artwork, copywriting, media scripting, television and film production and media placement, within time and budget constraints,Analysing data regarding consumer patterns and preferences,Interpreting and predicting current and future consumer trends,Researching potential demand and market characteristics for new goods and services and collecting and analysing data and other statistical information,Supporting business growth and development through the preparation and execution of marketing objectives, policies and programs,Commissioning and undertaking market research to identify market opportunities for new and existing goods and services,Advising on all elements of marketing such as product mix, pricing, advertising and sales promotion, selling, and distribution channels","Data analysis, Digital marketing proficiency, Search engine optimization (SEO), Content management systems (CMS), Campaign management","Advanced diploma,Diploma,Certificate IV","DMI Pro, DMI Pro + AMA Dual Certification, Google Ads Certification, HubSpot Content Marketing Certification, Facebook Certified Buying Professional, Google Analytics Individual Qualification, Professional Certified Marketer (PCM)","Customer Relationship Management (CRM) software, marketing automation platforms, social media analytics tools, search engine optimization (SEO) software, content management systems (CMS), data visualization tools, graphic design software","Communication, teamwork, adaptability, problem-solving, project management",JSA,131113,1222.1.1,11-2011.00
64,ICT Sales Professionals,Sell information and communication technology products and services to business and consumer clients.,General Category,TBC,"Sales Development Representative (SDR)/Business Development Representative (BDR), Account Executive (AE), Sales Manager/Enterprise Account Executive (EAE), VP of Sales","Compiling lists of prospective client businesses using trade directories and other sources,Acquiring and updating knowledge of employer's and competitors' goods and services, and market conditions,Visiting regular and prospective client businesses to establish and act on selling opportunities,Assessing customers' needs and explaining the goods and services which meet their needs,Promoting employers' ict goods and services to existing and prospective clients,Quoting and negotiating prices and credit terms, and completing contracts and recording orders,Arranging delivery of goods, installation of equipment and the provision of services,Reporting to sales management on sales made and the marketability of ict goods and services,Following up with clients to ensure satisfaction with ict goods and services purchased, arranging modifications and resolving any problems arising,Preparing sales reports, and maintaining and submitting records of business expenses incurred","ICT Sales Methodologies, Digital & IT, AI & Data, Cyber Security, Cloud & Infrastructure",Not Found,"Sales and Marketing Executives International (SMEI) Certified Sales Engineer (CSE), International Society of Automation (ISA) Certified Solution Selling Professional (CSSP), Sales Management Association (SMA) Certified Sales Leadership Professional (CSLP), National Association of Sales Professionals (NASP) Certified Professional Sales Person (CPSP), CompTIA A+, Cisco Certified Network Associate (CCNA), CompTIA Security+","Cloud Computing, CRM Software, Cybersecurity Solutions, Networking Hardware, Enterprise Software, Data Analytics, VoIP Systems","Effective Communication, Emotional Intelligence, Time Management, Resilience, Adaptability",JSA,225213,2529.1,41-9099.00
65,Public Relations Professionals,"Public relations specialists create and maintain a positive public image for the individuals, groups, or organizations they represent.",Public Administration and Safety,TBC,"Public Relations Assistant/Specialist, Communications Specialist/Market Research Analyst, Corporate/Digital Communications Manager, Director of Public Relations, Chief Communications Officer (CCO)","Planning and organising publicity campaigns and communication strategies,Advising executives on the public relations implications of their policies, programs and practices,Preparing and controlling the issue of news and press releases,Undertaking and commissioning public opinion research, analysing the findings and planning public relations and promotional campaigns,Organising special events, seminars, entertainment, competitions and social functions to promote goodwill and favourable publicity,Representing organisations and arranging executive interviews with publicity media,Attending business, social and other functions to promote the organisation,Commissioning and obtaining photographs and other illustrative material,Selecting, appraising and revising material submitted by publicity writers, photographers, illustrators and others to create favourable publicity","Digital and Social Media Expertise, Analytics software, Google Analytics, Hootsuite Analytics, Moz Analytics","Advanced diploma,Diploma","Accredited in Public Relations (APR), Certificate in Principles of Public Relations, Certified Public Relations Leader (CPRL), Communication Management Professional (CMP), Strategic Communication Management Professional (SCMP), Chartered PR Practitioner, Public Relations and Communications Association (PRCA) Certified Communications Professional (CCP)","AI, Media Databases, Social Listening Tools, SEO and Content Marketing, Digital and Social Media Platforms, AR and VR, Analytics Dashboards","Strategic Communication Planning, Interpersonal and Relationship Building, Crisis Management and Response, Active Listening, Analytical Thinking",JSA,225311,1222.1.2,11-2032.00
66,Technical Sales Representatives,"A Technical Sales Representative sells equipment for a company and provides specialized technical assistance for customers, including installation, training for users, maintenance and repairs.",Wholesale Trade,TBC,"Sales Development Representative, Account Executive, Sales Manager, Regional Sales Director, Vice President of Sales","Compiling lists of prospective client businesses using directories and other sources,Acquiring and updating knowledge of employers' and competitors' goods and services, and market conditions,Visiting regular and prospective client businesses to establish and act on selling opportunities,Assessing customers' needs and recommending and explaining goods and services to them,Monitoring customers' changing needs and competitor activity, and reporting these developments to sales management,Quoting and negotiating prices and credit terms, and completing contracts and recording orders,Arranging delivery of goods, installation of equipment and the provision of services,Reporting to sales management on sales made and the marketability of goods and services,Following up with clients to ensure satisfaction with goods and services purchased, and resolving any problems arising,Preparing sales reports and maintaining and submitting records of business expenses incurred","Technical Sales, Technical Problem-Solving, Deep Product Expertise, Understanding of Engineering Principles, Comfort With Technology",Not Found,"Certified Sales Professional (CSP), Certified Technical Sales Professional (CTSP), Certified Sales Engineer (CSE), Certified Solution Selling Professional (CSSP), Certified Professional Sales Person (CPSP)","Word processing, Spreadsheet programs, Presentation programs, CRM software, Sales databases, Presentation aids, Enterprise-wide resource platforms","Communication, Adaptability, Empathy, Problem-solving, Negotiation",JSA,225499,2433.2,41-9099.00
67,Air Transport Professionals,"Air Transport Professionals fly and navigate aircraft, control and direct air traffic, and instruct students in flying aircraft to ensure safe and efficient air operations.","Transport, Postal and Warehousing",TBC,"Copilot, Captain, Senior Captain, Chief Pilot","Preparing and submitting flight plans giving consideration to factors such as weather conditions and aircraft performance,Flying aircraft in accordance with established air traffic control and aircraft operating procedures,Providing flight information for flight crews and air traffic services staff,Controlling aircraft movements, and directing aircraft taxiing, take-offs and landings by radio,Providing pre-flight briefings and aeronautical information services,Completing cockpit preparations and external inspections to determine that aircraft are acceptable for flight,Monitoring aircraft performance and reporting on mechanical condition,Giving in-flight instruction, supervising solo flights, accompanying students on training flights and demonstrating techniques for controlling aircraft","Flying, Navigation, Aircraft Maintenance, Air Traffic Control, Logistics","Advanced diploma,Diploma,Certificate IV,Certificate III,Non-AQF level","FAA Airframe & Powerplant (A&P) Certification, Inspection Authorization (IA) Certification, Federal Communications Commission (FCC) General Radiotelephone Operator License (GROL), Airline Transport Pilot (ATP) Certification, Private Pilot License (PPL), Commercial Pilot License (CPL), IATA Cargo Handling Facility Assessment Certification (ICHFA)","Avionics, Air Traffic Control (ATC) Systems, Communication Navigation Surveillance / Air Traffic Management (CNS/ATM) Systems, Automated Radar Terminal System (ARTS), GPS Devices, Weather Radar, Autonomous Aircraft","Teamwork, Adaptability, Time Management, Resilience, Communication",JSA,231199,2142.1.9,55-3011.00
68,Marine Transport Professionals,"Marine transport professionals control and manage the operations of ships, boats and marine equipment.","Transport, Postal and Warehousing",TBC,"Deck Cadet, Ordinary Seaman, Able Bodied Seaman, Second Mate/Third Officer, Chief Mate/First Officer, Captain/Master","Directing fishing operations by using knowledge about the species sought, fishing areas, seasons and the capabilities of the vessel and crew,Directing crew in catching fish, molluscs and crustacea at varying depths using nets, lines, poles, pots and traps,Planning, controlling and coordinating the operational and maintenance requirements of a ship's propulsion and domestic plant and equipment,Operating plant and equipment and performing routine maintenance on ship's systems including mechanical, electrical, hydraulic, pneumatic, steam generating, and fire prevention and control systems,Controlling and directing shipping operations to ensure the safe and efficient loading and transport of cargo and passengers,Ensuring compliance with regulations pertaining to safety at sea and protection of the marine environment,Directing the activities of the deck crew for navigational support tasks, berthing and unberthing, maintenance, cleaning and painting of superstructures, and repair and replacement of defective deck gear and equipment,Navigating a ship by supervising the ship's course and speed according to predetermined passage plans and safety procedures,Examining and approving design plans of hulls and equipment such as main propulsion engines, auxiliary boilers and turbines, electrical power generating plant, refrigeration and airconditioning plant and pumping systems,Conducting periodic surveys throughout a ship's life to ensure standards are maintained","Knowledge of procedures and safety systems, equipment knowledge, understanding of weather and marine environment, examining design plans of hulls and equipment, directing fishing operations","Advanced diploma,Diploma,Certificate IV,Certificate III,Certificate II,Certificate I,Non-AQF level","US Coast Guard Unlimited Tonnage Third Officer and 100 Ton Master Credential, International STCW Certifications, Watchkeeper deck less than 500 gross tonnage, Mate less than 500 gross tonnage, Chief mate, Revalidation of STCW Master and deck certificates of competency","GPS, Radar, Sonar, ECDIS, AIS, Autopilot systems, Communication systems","Communication, Leadership, Teamwork, Problem-solving, Adaptability",JSA,233215,2142.1.9,17-2121.00
69,Architects and Landscape Architects,"Architects design buildings and other structures, while landscape architects design and manage outdoor spaces like parks, gardens, and other recreational areas, often collaborating on large-scale projects.","Professional, Scientific and Technical Services",TBC,"Entry-Level Architect, Licensed Architect, Senior Architect, Architectural and Engineering Manager","Obtaining advice from clients and management to determine type, style and size of planned buildings and alterations to existing buildings,Providing information regarding designs, materials and estimated building times,Preparing project documentation, including sketches and scale drawings, and integrating structural, mechanical and aesthetic elements in final designs,Writing specifications and contract documents for use by builders and calling tenders on behalf of clients,Consulting with professionals and clients about external area designs, costs and construction,Compiling and analysing site and community data about geographical and ecological features, landforms, soils, vegetation, site hydrology, visual characteristics and human-made structures, to formulate land use and development recommendations, and for preparing environmental impact statements,Preparing reports, site plans, working drawings, specifications and cost estimates for land development, showing location and details of proposals, including ground modelling, structures, vegetation and access,Inspecting construction work in progress to ensure compliance with plans, specifications and quality standards","Digital skills, Analytical skills, Proficiency with design software (AutoCAD, SketchUp, or GIS tools), Good knowledge of strategic IT solutions, Hands-on experience in software development","Advanced diploma,Certificate IV","Evidence-Based Design Accreditation and Certification (EDAC), Building Performance Institute (BPI) Certification, Green Globes Professional (GGP), WELL Accredited Professional (WELL AP), Certified Green Professional (CGP), Architect Registration Examination (ARE), Certified Passive House Designer/Consultant (CPHD/C)","BIM software, CAD software, Virtual Reality (VR), Unmanned Aerial Vehicles (drones), 3D printing and fabrication, rendering software, GIS/mapping tools","Communication Skills, Presentation skills, Problem-Solving, Attention to Detail, Leadership",JSA,232112,2162.1,17-1012.00
70,Surveyors and Spatial Scientists,"Measure, map, and analyse land, space, and geographic data for planning and development.","Professional, Scientific and Technical Services",TBC,"Surveyor, Cartographer, Cadastral Surveyor, Engineering Surveyor, Geodetic Surveyor","Designing and compiling map manuscripts using digital and graphical source material, including aerial photographs, satellite imagery, survey documents, existing maps and records, reports and statistics,Advising surveyors and other professionals on the data requirements for map production, and on the aesthetic, technical and economic considerations of scales, details to be illustrated, place names and reproduction techniques,Supervising and coordinating the work of cartographic technicians in the production and reproduction of maps,Determining the position of points of interest on the earth's surface including marine floors, and preparing the final product data in digital form,Supervising the preparation of plans, maps, charts and drawings to give pictorial representations and managing automated spatial information systems,Undertaking research and development of surveying and photogrammetric measurement systems, cadastral systems and land information systems,Planning and designing land subdivision projects and negotiating details with local governments and other authorities,Advising architects, engineering professionals, environmental and other scientists or other relevant professionals on the technical requirements of surveying, mapping and spatial information systems,Compiling and evaluating data, interpreting codes of practice, and writing reports concerning survey measurement, land use and tenure,Preparing site plans and survey reports required for conveyancing and land ownership matters","GPS, Survey Data, Data Collection, Survey Equipment, Total Station",Not Found,"Engineering Surveying Certification, Hydrographic Certification, GISP-AP Certification, MRICS (Member of RICS), FRICS (Fellow of RICS), MCIOB (Member of CIOB), CCP (Certified Cost Professional)","Global Positioning System (GPS), Total Station, AutoCAD, Geographic Information Systems (GIS), Drone Technology, LiDAR, 3D Laser Scanning","Communication skills, Problem-solving skills, Time-management skills, Visualization skills, Interpersonal skills",JSA,232214,2165.4.2,17-1022.00
71,"Fashion, Industrial and Jewellery Designers","Fashion, Industrial and Jewellery Designers plan, design, develop and document products for manufacture and prepare designs and specifications of products for mass, batch and one-off production.","Professional, Scientific and Technical Services",TBC,"Jewelry Designer, Senior Jewelry Designer, Design Studio Supervisor, Design Company Owner/Executive","Determining the objectives and constraints of the design brief by consulting with clients and stakeholders,Undertaking product research and analysing functional, commercial, cultural and aesthetic requirements,Formulating design concepts for clothing, textiles, industrial, commercial and consumer products, and jewellery,Preparing sketches, diagrams, illustrations, plans, samples and models to communicate design concepts,Negotiating design solutions with clients, management, and sales and manufacturing staff,Selecting, specifying and recommending functional and aesthetic materials, production methods and finishes for manufacture,Detailing and documenting the selected design for production,Preparing and commissioning prototypes and samples,Supervising the preparation of patterns, programs and tooling, and the manufacture process","Detailing and documenting designs, Preparing prototypes and samples, Preparing patterns, Programming, Manufacturing process supervision","Advanced diploma,Diploma,Certificate IV","Jewelry Design Certificate (GIA), Jewelry Design (One-Year Certificate) (LdM Institute), Certificate in Jewellery Design (JD Institute of Fashion Technology), Certificate III in Apparel Fashion and Textiles (TAFE Queensland/TAFE NSW), Diploma of Apparel Fashion and Textiles (TAFE Queensland/TAFE NSW), Certified Professional in User Experience (CPUX), Adobe Certified Professional (ACP)","3D Printing, CAD Software, CNC Milling, Laser Engraving and Cutting, Digital Light Processing (DLP), 3D Scanning, AI","Detail oriented, comfortable meeting new people, time management, organizational skills, effective communication skills",JSA,232313,2163.1.5,27-1022.00
72,"Graphic and Web Designers, and Illustrators","Professionals who visually communicate ideas and messages through typography, layout, imagery, and artistic skills for print, digital, and advertising mediums, creating things like logos, websites, and illustrations.",Information Media and Telecommunications,TBC,"Junior Graphic Designer, Graphic Designer, Senior Graphic Designer/Art Director/Freelance/Self-Employed","Determining the objectives and constraints of the design brief by consulting with clients and stakeholders,Undertaking research and analysing functional communication requirements,Formulating design concepts for the subject to be communicated,Preparing sketches, diagrams, illustrations and layouts to communicate design concepts,Negotiating design solutions with clients, management, sales and production staff,Selecting, specifying or recommending functional and aesthetic materials and media for publication, delivery or display,Detailing and documenting the selected design for production,Supervising or carrying out production in the chosen media,May archive information for future client use","Design software proficiency, HTML & CSS, Typography, UI & UX design, Branding and identity design","Advanced diploma,Diploma,Certificate IV","Adobe Certified Professional (Illustrator, Photoshop, InDesign), Certified Internet Webmaster (CIW) - Web Design Professional, Certified Internet Web Professional (CIW), Google Mobile Web Specialist Certification, Certified Graphic Designer, Digital Illustration Certificate, Professional Certificate in Art and Design","Adobe Illustrator, Adobe Photoshop, HTML, CSS, Figma, Webflow, Wix","Communication, Interpersonal Skills, Creative Thinking, Time Management, Adaptability",JSA,232414,2166.15,27-1024.00
73,Interior Designers,Interior designers determine clients' goals and requirements to sketch preliminary design plans and oversee the installation of interior spaces.,"Professional, Scientific and Technical Services",TBC,"Interior Design Assistant, Junior Interior Designer, Interior Designer, Senior Interior Designer, Principal/Owner of Design Firm","Determining the objectives and constraints of the design brief by consulting with clients and stakeholders,Researching and analysing spatial, functional, efficiency, safety and aesthetic requirements,Formulating design concepts for building interiors,Preparing sketches, diagrams, illustrations and plans to communicate design concepts,Negotiating design solutions with clients, management, suppliers and construction staff,Selecting, specifying and recommending functional and aesthetic materials, furniture and products for interiors,Detailing and documenting selected design for construction,Supervising the construction of interiors","Computer-Aided Design (CAD) Software Proficiency, 3D Modeling and Rendering, Architectural and Space Planning, Understanding Materials and Finishes, Building Codes and Safety Standards",Not Found,"NCIDQ Certification, WELL Accredited Professional, Certified Healthcare Interior Designer, Evidence-Based Design Accreditation and Certification, LEED Professional Credential, Certified Aging-in-Place Specialist, DIA (Design Institute of Australia)","CAD Software, Revit, SketchUp Pro, AutoCAD, Autodesk 3Ds Max, Lumion, Floorplanner","Creativity, Planning, Perspective, Assertiveness, Diplomacy",JSA,232511,3432.1,27-1025.00
